make,model,year,engine_size,mileage,fuel_type,transmission,price
Honda,Model E,2016,3.2,44498,Diesel,Manual,31714.43558
Honda,Model A,2016,3.2,16705,Electric,Automatic,33239.97519
Honda,Model C,2007,2,62598,Electric,Manual,20127.07982
Honda,Model C,2002,4,12239,Petrol,Manual,24796.08996
Honda,Model D,2016,1.5,186966,Petrol,Automatic,19287.00872
Honda,Model D,2018,4,108563,Diesel,Manual,27488.31415
Honda,Model A,2021,3.4,136746,Petrol,Automatic,29310.44555
Honda,Model C,2011,1.9,66446,Petrol,Manual,24127.84633
Honda,Model B,2014,3.8,29072,Electric,Automatic,30735.53601
Honda,Model C,2000,2.1,117202,Petrol,Manual,20199.75558
Honda,Model B,2014,4.5,122389,Electric,Manual,29301.92038
Honda,Model C,2009,1.8,39713,Diesel,Automatic,24557.49103
Honda,Model E,2013,2.7,22185,Diesel,Automatic,27848.73635
Honda,Model B,2010,3.1,197626,Diesel,Manual,21321.97936
Honda,Model C,2019,3.2,17563,Petrol,Automatic,32465.48704
Honda,Model D,2021,4.3,175682,Electric,Automatic,32578.13019
Honda,Model B,2007,2.9,160482,Diesel,Automatic,19008.99312
Honda,Model E,2001,1.6,38665,Diesel,Automatic,20240.9356
Honda,Model B,2014,3.3,123852,Petrol,Automatic,27965.77515
Honda,Model B,2008,3.9,9465,Diesel,Automatic,30012.54754
Honda,Model E,2006,1.4,15250,Diesel,Automatic,22633.00092
Honda,Model B,2010,3.9,177696,Electric,Manual,22401.89093
Honda,Model B,2011,1.1,181984,Petrol,Automatic,19284.01441
Honda,Model C,2008,1.6,164658,Electric,Manual,19248.87665
Honda,Model B,2020,3.1,48791,Petrol,Manual,31292.2299
Honda,Model D,2012,2.2,12300,Petrol,Manual,25677.70591
Honda,Model B,2005,2.5,34579,Petrol,Manual,24863.53365
Honda,Model B,2012,2.7,72302,Petrol,Manual,28975.79897
Honda,Model C,2010,2.3,85757,Diesel,Automatic,22913.22825
Honda,Model E,2011,4.3,156174,Electric,Automatic,24505.79876
Honda,Model C,2009,2.7,56627,Diesel,Manual,24734.23923
Honda,Model E,2019,4.4,79810,Petrol,Manual,36842.41449
Honda,Model B,2012,2.5,160322,Petrol,Automatic,22483.67512
Honda,Model B,2015,1.2,113141,Diesel,Automatic,21508.05801
Honda,Model A,2007,3.3,182429,Diesel,Manual,19616.57827
Honda,Model D,2017,1.4,193100,Diesel,Manual,22338.85116
Honda,Model B,2013,2.1,6630,Diesel,Automatic,28746.0582
Honda,Model D,2013,4.1,97285,Diesel,Automatic,27354.62244
Honda,Model D,2014,3,173316,Diesel,Automatic,25626.93215
Honda,Model A,2009,4.4,132317,Petrol,Manual,25466.33701
Honda,Model C,2016,4.1,18740,Petrol,Manual,33550.20599
Honda,Model A,2012,1.9,26783,Electric,Automatic,29634.11708
Honda,Model C,2014,3.1,194159,Diesel,Automatic,23906.08501
Honda,Model A,2008,1.3,122323,Petrol,Manual,20494.07122
Honda,Model D,2016,3.6,40391,Diesel,Automatic,33977.549
Honda,Model B,2014,4.2,179354,Petrol,Manual,26712.54975
Honda,Model D,2009,4.4,82208,Petrol,Manual,25449.62846
Honda,Model A,2019,2.4,178114,Electric,Manual,22280.72873
Honda,Model D,2009,4,24278,Petrol,Manual,30014.31723
Honda,Model D,2021,2.1,122058,Diesel,Automatic,29151.26452
Honda,Model C,2016,1.9,50391,Electric,Automatic,29380.98373
Honda,Model C,2005,3.7,2365,Petrol,Automatic,29095.06766
Honda,Model C,2010,2.3,37823,Electric,Manual,27141.51444
Honda,Model A,2012,3.8,71158,Diesel,Automatic,31585.43047
Honda,Model B,2014,3.6,1919,Diesel,Automatic,31349.14884
Honda,Model C,2000,3.5,86676,Diesel,Automatic,18298.78875
Honda,Model B,2017,3.9,59099,Electric,Manual,29264.22787
Honda,Model B,2018,3.6,557,Electric,Automatic,34453.88396
Honda,Model A,2018,2.9,161738,Electric,Manual,21623.98749
Honda,Model D,2017,3.6,24578,Electric,Automatic,34139.41524
Honda,Model E,2016,4.2,126794,Diesel,Manual,29429.97953
Honda,Model C,2005,2.4,70202,Diesel,Automatic,25991.02501
Honda,Model B,2000,3.7,133726,Diesel,Manual,20742.65214
Honda,Model C,2018,2.7,18361,Electric,Automatic,33752.45613
Honda,Model E,2019,1.4,163819,Diesel,Automatic,21059.15094
Honda,Model C,2001,3.9,152254,Electric,Automatic,21309.02747
Honda,Model C,2015,1.1,9415,Diesel,Automatic,30104.47969
Honda,Model A,2010,2.1,195457,Diesel,Automatic,15493.33811
Honda,Model D,2014,2.5,140721,Diesel,Manual,28235.32482
Honda,Model C,2008,3.7,177125,Diesel,Manual,23441.64645
Honda,Model B,2009,2.3,106777,Diesel,Manual,25246.75216
Honda,Model D,2008,3.4,194654,Diesel,Manual,23086.1981
Honda,Model D,2014,1.8,33529,Diesel,Automatic,26485.26102
Honda,Model E,2021,4,182155,Diesel,Automatic,27101.14627
Honda,Model A,2010,2,171148,Electric,Automatic,22226.79049
Honda,Model C,2003,2.2,39807,Diesel,Manual,23408.76286
Honda,Model E,2014,4.5,128305,Petrol,Manual,26269.61388
Honda,Model A,2012,2.2,175804,Electric,Manual,22821.00163
Honda,Model B,2010,1.1,194151,Electric,Manual,18596.85382
Honda,Model D,2014,3.4,140466,Electric,Automatic,23004.60292
Honda,Model E,2013,1.4,93708,Electric,Manual,24717.78603
Honda,Model E,2014,2.4,97819,Electric,Automatic,26514.40379
Honda,Model B,2004,3.7,144352,Petrol,Manual,20605.18394
Honda,Model A,2003,2.5,36303,Petrol,Manual,25037.05986
Honda,Model C,2001,4.3,27453,Petrol,Automatic,28381.12844
Honda,Model B,2012,2.3,189060,Petrol,Manual,20766.06386
Honda,Model C,2000,1.4,94655,Electric,Manual,18470.67012
Honda,Model E,2012,3.8,41723,Electric,Automatic,28378.56647
Honda,Model A,2007,4.4,62040,Electric,Automatic,26722.48951
Honda,Model A,2000,1.4,166762,Petrol,Automatic,12912.744
Honda,Model A,2017,3.3,45667,Electric,Manual,30315.55562
Honda,Model C,2001,3.6,55547,Petrol,Manual,17639.82092
Honda,Model E,2016,3.4,140934,Electric,Automatic,27741.38004
Honda,Model E,2013,1.7,3679,Diesel,Automatic,28208.33185
Honda,Model A,2009,2.7,40308,Electric,Manual,23614.20498
Honda,Model A,2008,2.7,190388,Diesel,Automatic,19724.46742
Honda,Model B,2018,1.1,31923,Diesel,Automatic,31648.72782
Honda,Model A,2020,4.2,183877,Diesel,Automatic,31475.25338
Honda,Model D,2019,3.7,162760,Electric,Manual,25075.5467
Honda,Model D,2015,2.8,29764,Diesel,Automatic,33461.23766
Honda,Model E,2019,3.9,32470,Electric,Manual,32431.53135
Honda,Model A,2021,4.3,57207,Petrol,Automatic,34026.38835
Honda,Model E,2016,1.7,134288,Petrol,Automatic,23426.05555
Honda,Model C,2015,3.7,64186,Electric,Manual,33056.12686
Honda,Model A,2003,1.6,33746,Diesel,Automatic,27388.65249
Honda,Model E,2021,2.2,133315,Electric,Automatic,26949.28084
Honda,Model A,2001,3,80636,Electric,Automatic,20171.08575
Honda,Model D,2016,4.2,107697,Petrol,Automatic,33737.89614
Honda,Model B,2015,2,7273,Petrol,Automatic,29913.28277
Honda,Model D,2012,1.3,89909,Petrol,Automatic,22538.93001
Honda,Model C,2018,2.7,188891,Electric,Manual,23416.43383
Honda,Model E,2021,3.9,53281,Electric,Automatic,34976.174
Honda,Model B,2010,2.3,184885,Diesel,Automatic,20380.33862
Honda,Model B,2000,1,25037,Petrol,Manual,20172.06605
Honda,Model D,2013,3.2,167079,Diesel,Automatic,22149.60936
Honda,Model B,2013,1.2,73277,Electric,Automatic,23081.34562
Honda,Model B,2015,2.6,21556,Diesel,Automatic,31353.72606
Honda,Model A,2010,2,152328,Electric,Automatic,17055.18145
Honda,Model B,2011,3,10529,Electric,Automatic,31460.98164
Honda,Model C,2018,3.8,174230,Diesel,Manual,25974.63032
Honda,Model B,2016,4,62821,Diesel,Automatic,30459.92937
Honda,Model D,2002,3.4,169587,Diesel,Automatic,12713.01859
Honda,Model A,2004,1.9,111777,Electric,Manual,20877.70723
Honda,Model B,2020,3.1,149112,Diesel,Manual,30392.57557
